City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
harindanga,83,IN,1636931532,84,22.0383,88.3214,71.58,5.48
bouca,38,CF,1636931533,88,6.5105,18.2733,72.61,3.83
jaisalmer,0,IN,1636931533,18,26.9147,70.9181,69.3,5.39
martapura,40,ID,1636931533,83,-3.4167,114.85,77.09,6.91
armizonskoye,100,RU,1636931534,90,55.9461,67.6736,15.26,12.28
eureka,100,US,1636931534,87,40.8021,-124.1637,63.12,1.01
krasnokholmskiy,96,RU,1636931534,95,55.9873,55.0466,13.33,1.57
lagos,99,NG,1636931254,89,6.5833,3.75,78.94,4.52
bhuj,0,IN,1636931535,35,23.2667,69.6667,71.33,6.76
cabo san lucas,4,BR,1636931535,78,-8.2833,-35.0333,82.33,8.1
mwinilunga,100,ZM,1636931535,94,-11.7358,24.4293,61.97,2.19
leshukonskoye,16,RU,1636931536,89,64.8989,45.7622,19.81,7.61
lorengau,100,PG,1636931536,80,-2.0226,147.2712,80.83,2.71
padang,100,ID,1636931536,83,-0.9492,100.3543,71.65,2.98
priboj,53,BA,1636931537,88,44.6028,18.9314,40.98,1.97
kloulklubed,83,PW,1636931537,72,7.0419,134.2556,77.5,8.5
mandalgovi,3,MN,1636931538,56,45.7625,106.2708,22.26,4.92
porto novo,0,PT,1636931539,86,41.1496,-8.611,55.29,7.0
hals,83,DK,1636931539,87,56.9961,10.3081,45.0,9.75
yar-sale,79,RU,1636931540,87,66.8333,70.8333,7.41,10.78
sao raimundo das mangabeiras,94,IN,1636931493,64,20.5113,76.2129,71.96,4.88
fort saint john,3,NL,1636931540,87,52.6517,6.3861,47.91,6.51
dzaoudzi,40,YT,1636931540,83,-12.7887,45.2699,78.69,6.91
kawalu,99,ID,1636931541,98,-7.3817,108.2082,71.76,0.69
hojai,14,IN,1636931541,95,26.0,92.8667,62.8,2.46
vokhma,100,RU,1636931541,96,58.9303,46.7586,26.42,4.03
imbituba,60,BR,1636931542,85,-28.24,-48.6703,70.83,15.68
maraba,100,BR,1636931542,91,-5.3686,-49.1178,75.76,1.32
hamilton,90,US,1636931543,88,39.1834,-84.5333,37.24,1.99
port lincoln,83,CD,1636931543,66,-7.0349,29.7638,74.89,7.83
sioux lookout,90,US,1636931543,80,42.7333,-96.2336,39.7,5.75
presidente olegario,100,BR,1636931544,84,-29.9461,-50.1113,68.31,18.5
tigil,100,RU,1636931544,86,57.8,158.6667,27.55,11.9
tefe,99,BR,1636931544,94,-3.3542,-64.7114,75.76,1.66
sao felix do xingu,94,IN,1636931493,64,20.5113,76.2129,71.96,4.88
kalianget,100,ID,1636931545,82,-7.05,113.9333,79.84,2.39
banda aceh,0,IN,1636931545,52,25.4833,80.3333,63.07,2.13
lae,61,PG,1636931545,63,-6.7221,146.9847,85.53,2.01
villacarrillo,0,ES,1636931546,56,38.1156,-3.0848,46.99,3.38
xai-xai,57,MZ,1636931546,87,-25.0519,33.6442,73.33,9.06
bengkulu,100,ID,1636931547,89,-3.8004,102.2655,74.53,4.29
ilulissat,90,GL,1636931547,67,69.2167,-51.1,12.22,11.5
lerwick,100,GB,1636931547,96,60.1545,-1.1494,51.8,18.81
eirunepe,95,BR,1636931548,89,-6.6603,-69.8736,77.13,3.29
nishihara,20,JP,1636931548,69,26.1842,127.7558,69.08,11.5
berdigestyakh,57,RU,1636931252,100,62.0989,126.6992,-20.38,2.55
bilma,91,NE,1636931548,16,18.6853,12.9164,77.95,5.82
mackay,0,AU,1636931549,60,-21.15,149.2,82.04,4.81
koson,5,UZ,1636931549,78,39.0375,65.585,43.12,3.51
chingola,76,ZM,1636931549,70,-12.529,27.8838,65.05,2.68
sarmanovo,100,RU,1636931550,92,55.2553,52.5891,9.28,4.34
palana,100,RU,1636931550,99,59.1167,159.9667,29.62,23.26
chililabombwe,74,ZM,1636931550,76,-12.3648,27.8229,64.2,2.95
kawhia,11,NZ,1636931551,75,-38.0651,174.8183,72.75,11.07
champerico,36,GT,1636931551,72,14.3,-91.9167,86.76,5.84
katsuura,0,JP,1636931551,67,35.1333,140.3,60.12,9.78
banjar,100,ID,1636931552,87,-8.19,114.9675,78.66,2.53
moerai,100,PF,1636931552,89,-22.4333,-151.3333,70.23,10.76
tevaitoa,100,PF,1636931552,86,-16.7833,-151.5,75.29,11.25
antsohihy,34,MG,1636931553,80,-14.8796,47.9875,77.34,1.39
smithers,85,CA,1636931553,92,54.7804,-127.1743,36.75,2.44
marzuq,1,YE,1636931553,37,14.4,46.4667,65.71,1.28
